City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,hermanus,-34.4187,19.2345,15.34,92,0,2.84,ZA,1697595749
1,colonia,50.9333,6.95,7.75,79,0,1.54,DE,1697595792
2,peace river,56.2501,-117.286,5.17,93,20,2.57,CA,1697596174
3,ararangua,-28.9347,-49.4858,16.51,82,100,3.57,BR,1697596174
4,port-aux-francais,-49.35,70.2167,2.44,74,99,6.17,TF,1697595747
5,waitangi,-43.9535,-176.5597,12.12,74,27,4.02,NZ,1697595743
6,al burayqah,30.4062,19.5739,22.15,66,0,2.87,LY,1697596174
7,west island,-12.1568,96.8225,26.99,78,40,6.69,CC,1697595761
8,howard springs,-12.497,131.047,33.95,23,6,2.48,AU,1697595745
9,iqaluit,63.7506,-68.5145,-1.15,58,100,1.03,CA,1697595751
10,bethel,41.3712,-73.414,12.02,85,75,1.54,US,1697595745
11,bilibino,68.0546,166.4372,-15.02,94,100,1.79,RU,1697595750
12,saldanha,-33.0117,17.9442,12.03,95,3,6.16,ZA,1697595811
13,adamstown,-25.066,-130.1015,22.28,87,100,3.5,PN,1697595747
14,kodiak,57.79,-152.4072,8.73,81,100,4.63,US,1697595756
15,littlefield,33.9173,-102.3249,18.14,35,0,5.04,US,1697596175
16,iskateley,67.6803,53.1512,1.12,89,100,4.02,RU,1697595754
17,grytviken,-54.2811,-36.5092,1.67,88,98,5.68,GS,1697595745
18,touros,-5.1989,-35.4608,25.28,75,29,7.02,BR,1697595758
19,lerwick,60.1545,-1.1494,9.0,87,100,4.89,GB,1697595744
20,enewetak,11.3474,162.3373,28.43,77,52,7.07,MH,1697595773
21,el molino,10.6523,-72.924,23.61,94,82,1.55,CO,1697596176
22,karachi,24.9056,67.0822,25.9,65,20,4.12,PK,1697595941
23,puerto natales,-51.7236,-72.4875,5.02,92,65,1.81,CL,1697595744
24,shimoda,34.6667,138.95,23.2,61,0,3.02,JP,1697596176
25,albany,42.6001,-73.9662,11.36,83,19,1.93,US,1697595710
26,namibe,-15.1961,12.1522,17.26,81,49,0.79,AO,1697595784
27,dawei,14.0833,98.2,27.74,80,72,0.34,MM,1697596176
28,tobelo,1.7284,128.0095,29.04,71,42,2.13,ID,1697596176
29,termas de rio hondo,-27.4998,-64.8604,15.62,75,100,3.36,AR,1697595953
30,nishinoomote,30.7333,131.0,24.31,68,20,2.06,JP,1697596176
31,polyarnyy,69.1989,33.4478,2.11,72,100,5.27,RU,1697595759
32,vorgashor,67.5833,63.95,1.91,97,100,4.64,RU,1697595749
33,saint-paul,-21.0096,55.2707,23.06,92,100,0.45,RE,1697596177
34,chibougamau,49.9168,-74.3659,0.79,93,0,0.0,CA,1697595767
35,caleta de carquin,-11.0925,-77.6267,19.79,86,92,4.89,PE,1697596177
36,talladega,33.4359,-86.1058,12.16,93,0,0.0,US,1697596177
37,nurhak,37.9629,37.4202,11.42,56,62,0.95,TR,1697596177
38,shaowu,27.3409,117.4831,23.23,63,0,1.41,CN,1697596177
39,volksrust,-27.3654,29.8818,8.68,90,100,1.55,ZA,1697596177
40,lompoc,34.6391,-120.4579,20.43,86,100,9.39,US,1697595625
41,cabo san lucas,22.8909,-109.9124,30.17,58,0,2.06,MX,1697595629
42,plastun,44.7561,136.2939,11.72,45,91,0.89,RU,1697596178
43,palmer,42.1584,-72.3287,11.72,83,75,0.0,US,1697595813
44,cockburn town,21.4612,-71.1419,29.15,72,50,4.75,TC,1697595589
45,thompson,55.7435,-97.8558,5.09,87,20,1.54,CA,1697595759
